logical_flow,size_bytes,n_pkts,tx_first_s,tx_last_s
230,3709543,2474,33744456.289675556,33744456.305759273
231,213239,143,33744456.305764429,33744456.306704327
232,8560819,5708,33744456.306708626,33744456.344643697
233,4449310,2967,33744456.344649419,33744456.364873536
234,7985,6,33744456.364880122,33744456.364918992
235,105545,71,33744456.364922710,33744456.365384318
236,4956,4,33744456.365388371,33744456.365413450
237,1823,2,33744456.365416698,33744456.365429468
238,3075,3,33744456.365432642,33744456.365463465
239,3667248,2445,33744456.365478218,33744456.381769650
240,1841861,1228,33744456.381774940,33744456.389954545
241,2596968,1732,33744456.389959686,33744456.401097849
242,36970,25,33744456.401103482,33744456.401280865
243,255373,171,33744456.401284724,33744456.402426973
244,1764226,1177,33744456.402431309,33744456.410203218
245,44694,30,33744456.410208225,33744456.410409406
246,136435,91,33744456.410416640,33744456.410979725
247,22018,15,33744456.410983764,33744456.411091059
248,3507,3,33744456.411095068,33744456.411113232
249,26213,18,33744456.411116503,33744456.411236376
250,4594441,3063,33744456.411240041,33744456.430910386
251,125578,84,33744456.430915505,33744456.431456007
252,6408696,4273,33744456.431460522,33744456.459173955
253,61613,42,33744456.459179074,33744456.459451765
254,27349,19,33744456.459455825,33744456.459568739
255,1827848,1219,33744456.459572390,33744456.467373319
256,2579470,1720,33744456.467378266,33744456.478489853
257,1209,1,33744456.478494972,33744456.478502825
258,621135,415,33744456.478506342,33744456.481096804
259,4085,3,33744456.481101535,33744456.481120482
260,5852,4,33744456.481123894,33744456.481160253
261,4360316,2907,33744456.481163554,33744456.500027500
262,1848,2,33744456.500033088,33744456.500047117
263,23486,16,33744456.500054367,33744456.500156105
264,19444354,12963,33744456.500160150,33744456.583897039
265,53946,36,33744456.583903588,33744456.584146641
266,5893,4,33744456.584151350,33744456.584177226
267,12725,9,33744456.584180877,33744456.584237047
268,23657,16,33744456.584240623,33744456.584351331
269,1356664,905,33744456.584355012,33744456.590082616
270,4847,4,33744456.590088353,33744456.590142012
271,5562392,3709,33744456.590145908,33744456.614366576
272,44748,30,33744456.614372320,33744456.614549130
273,10097160,6732,33744456.614553019,33744456.658813089
274,5478121,3653,33744456.658819035,33744456.683333345
275,29281,20,33744456.683339402,33744456.683486044
276,24835,17,33744456.683490142,33744456.683595218
277,66052,45,33744456.683598854,33744456.683884770
278,4650,4,33744456.683888599,33744456.683912903
279,462216,309,33744456.683916435,33744456.685969181
280,1837,2,33744456.685974233,33744456.685987771
281,1175,1,33744456.685991265,33744456.685998291
282,15853695,10570,33744456.686001614,33744456.753996685
283,29463,20,33744456.754002824,33744456.754144080
284,191220,128,33744456.754148208,33744456.754951261
285,59873,40,33744456.754955627,33744456.755190879
286,32105,22,33744456.755194589,33744456.755347528
287,2628,2,33744456.755351432,33744456.755364642
288,5709018,3807,33744456.755368210,33744456.779891320
289,9981527,6655,33744456.779897042,33744456.822815105
290,9979869,6654,33744456.822821029,33744456.866298221
291,5526,4,33744456.866303876,33744456.866328567
292,21270,15,33744456.866332158,33744456.866432451
293,266375,178,33744456.866436027,33744456.867547981
294,14397633,9599,33744456.867552206,33744456.928942248
295,94732,64,33744456.928948686,33744456.929347187
296,826894,552,33744456.929356024,33744456.932955958
297,541045,361,33744456.932961144,33744456.935298577
298,25414,17,33744456.935303226,33744456.935444154
299,93120,63,33744456.935459554,33744456.935922325
300,31143,21,33744456.935926564,33744456.936076969
301,24138,17,33744456.936081432,33744456.936186194
302,3487,3,33744456.936190017,33744456.936209776
303,27751,19,33744456.936213225,33744456.936367191
304,16320891,10881,33744456.936370842,33744457.008460663
305,59454,40,33744457.008467123,33744457.008725673
